ID,Education,Marital_Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Children,Family_Size,Is_Parent,Spent
1993,Postgraduate,Partner,58607,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,73,1,3,1,972
4047,Postgraduate,Partner,65324,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,68,1,3,1,544
1409,Graduate,Partner,40689,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,71,1,3,1,444
7892,Graduate,Alone,18589,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,53,0,1,0,75
2404,Graduate,Partner,53359,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,46,2,4,1,257
5255,Graduate,Alone,52720.37366,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,36,1,2,1,637
9422,Graduate,Partner,38360,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,33,1,3,1,131
1966,Postgraduate,Partner,84618,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,57,0,2,0,1672
6864,Postgraduate,Alone,10979,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,33,0,1,0,30
3033,Postgraduate,Partner,38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,59,0,2,0,318
5710,Graduate,Partner,40548,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,52,1,3,1,120
7373,Postgraduate,Alone,46610,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,70,2,3,1,302
8755,Postgraduate,Partner,68657,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,76,0,2,0,1196
10738,Postgraduate,Alone,49389,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,71,2,3,1,65
4339,Postgraduate,Partner,67353,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,52,1,3,1,913
10755,Undergrade,Partner,23718,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,46,1,3,1,81
8595,Graduate,Alone,42429,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,49,1,2,1,67
2968,Postgraduate,Alone,48948,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,79,0,1,0,902
8601,Graduate,Partner,80011,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,42,1,3,1,1395
503,Postgraduate,Partner,20559,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,37,1,3,1,53
8430,Graduate,Partner,21994,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,65,1,3,1,22
7281,Postgraduate,Alone,56145.31393,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,63,0,1,0,186
2139,Postgraduate,Partner,7500,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,47,1,3,1,31
1371,Graduate,Alone,79941,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,46,0,1,0,984
9909,Undergrade,Partner,7500,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,26,0,2,0,122
7286,Graduate,Partner,41728,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,54,1,3,1,55
7244,Graduate,Alone,52720.37366,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,71,3,4,1,124
6566,Postgraduate,Partner,72550,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,68,2,4,1,1319
8614,Graduate,Alone,65486,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,65,1,2,1,507
4114,Postgraduate,Partner,79143,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,58,0,2,0,1693
1331,Graduate,Alone,35790,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,45,1,2,1,72
2225,Graduate,Alone,82582,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,45,0,1,0,1617
9381,Graduate,Partner,66373,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,44,2,4,1,606
6260,Postgraduate,Partner,82384,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,67,0,2,0,1957
10383,Graduate,Alone,70287,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,56,0,1,0,1093
7437,Graduate,Alone,27938,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,34,1,2,1,29
8557,Graduate,Alone,52720.37366,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,40,1,2,1,46
8375,Postgraduate,Partner,55954,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,54,1,3,1,518
6853,Postgraduate,Alone,75777,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,40,0,1,0,1438
3076,Graduate,Partner,66653,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,47,2,4,1,612
1012,Graduate,Alone,61823,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,70,1,2,1,884
6518,Postgraduate,Alone,67680,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,71,1,2,1,606
4137,Graduate,Partner,70666,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,74,0,2,0,1076
8082,Graduate,Partner,25721,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,51,1,3,1,34
1386,Graduate,Partner,32474,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,55,2,4,1,11
9369,Undergrade,Alone,88194,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,43,1,2,1,1274
4477,Graduate,Partner,69096,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,64,1,3,1,653
1357,Graduate,Partner,74854,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,52,3,5,1,1562
1402,Postgraduate,Partner,66991,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,68,0,2,0,1253
10629,Undergrade,Partner,47633.19,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,49,1,3,1,109
6312,Graduate,Partner,65031,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,63,1,3,1,863
8132,Postgraduate,Partner,60631,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,47,2,4,1,661
1050,Graduate,Partner,28332,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,70,0,2,0,65
5846,Graduate,Alone,40246,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,45,1,2,1,13
1859,Postgraduate,Partner,75251,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,50,0,2,0,1890
7503,Graduate,Alone,75825,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,46,0,1,0,2209
10401,Undergrade,Partner,26326,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,46,0,2,0,18
1618,Graduate,Partner,56046,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,57,0,2,0,692
3332,Graduate,Alone,29760,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,37,1,2,1,165
2261,Graduate,Partner,26304,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,53,1,3,1,16
5346,Undergrade,Partner,23559,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,49,1,3,1,79
4119,Postgraduate,Partner,38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,59,0,2,0,318
535,Graduate,Alone,81361,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,35,0,1,0,778
5268,Graduate,Partner,29440,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,62,2,4,1,56
273,Postgraduate,Partner,36138,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,52,2,4,1,151
4452,Graduate,Alone,50388,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,65,1,2,1,372
8504,Graduate,Partner,79593,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,49,0,2,0,1366
771,Graduate,Partner,54178,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,55,1,3,1,194
8996,Postgraduate,Partner,56145.31393,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,65,3,5,1,603
9235,Graduate,Alone,52720.37366,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,65,2,3,1,18
5798,Postgraduate,Partner,52917.53425,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,49,0,2,0,985
11178,Postgraduate,Alone,42394,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,50,1,2,1,32
2230,Postgraduate,Partner,23626,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,52,1,3,1,43
7516,Graduate,Partner,30096,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,39,1,3,1,45
7247,Graduate,Alone,47916,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,62,1,2,1,606
11100,Graduate,Alone,51813,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,50,2,3,1,63
4646,Undergrade,Partner,78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,71,0,2,0,978
3037,Postgraduate,Partner,50150,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,39,0,2,0,410
1473,Undergrade,Alone,47823,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,62,1,2,1,72
1016,Postgraduate,Alone,34554,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,63,1,2,1,55
4518,Graduate,Partner,85693,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,43,1,3,1,1169
9370,Postgraduate,Partner,65846,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,77,0,2,0,1120
8908,Graduate,Partner,87195,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,63,0,2,0,1097
8373,Undergrade,Partner,24594,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,43,1,3,1,29
7533,Graduate,Partner,49096,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,58,2,4,1,187
2683,Graduate,Partner,52413,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,53,2,4,1,910
3629,Graduate,Alone,38557,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,44,1,2,1,145
10991,Postgraduate,Partner,89058,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,62,0,2,0,850
5077,Graduate,Partner,77298,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,43,1,3,1,969
7431,Postgraduate,Alone,68126,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,31,0,1,0,1820
3267,Postgraduate,Partner,57288,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,59,1,3,1,608
999,Graduate,Alone,86037,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,31,0,1,0,730
9215,Postgraduate,Partner,43974,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,42,1,3,1,551
2286,Graduate,Alone,50785,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,60,2,3,1,114
1592,Graduate,Partner,90765,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,52,0,2,0,1724
367,Undergrade,Partner,36550,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,44,1,3,1,577
5234,Undergrade,Partner,30753,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,55,2,4,1,81
9862,Graduate,Partner,21918,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,53,1,3,1,33
9805,Postgraduate,Partner,56129,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,69,1,3,1,660
6205,Postgraduate,Alone,32557,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,55,1,2,1,80
8442,Postgraduate,Partner,19510,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,37,2,4,1,30
7386,Graduate,Alone,30992,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,46,1,2,1,43
7215,Graduate,Alone,101970,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,39,0,1,0,1135
1491,Undergrade,Partner,71488,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,57,0,2,0,559
11071,Graduate,Alone,79607,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,38,0,1,0,1923
3381,Postgraduate,Partner,54348,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,69,2,4,1,90
8268,Postgraduate,Partner,56145.31393,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,61,1,3,1,404
11051,Postgraduate,Partner,77376,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,66,2,4,1,661
8026,Graduate,Partner,62998,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,70,1,3,1,463
433,Postgraduate,Alone,61331,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,64,2,3,1,632
9597,Graduate,Partner,73448,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,53,0,2,0,725
1295,Graduate,Partner,52720.37366,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,59,1,3,1,725
5290,Postgraduate,Partner,41551,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,58,2,4,1,279
1685,Postgraduate,Partner,62981,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,55,0,2,0,1482
5342,Undergrade,Alone,9548,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,46,1,2,1,29
9579,Postgraduate,Partner,33762,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,63,3,5,1,106
7660,Postgraduate,Alone,35860,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,2,3,1,49
1461,Postgraduate,Alone,36921,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,57,2,3,1,38
821,Postgraduate,Alone,92859,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,30,0,1,0,2077
11084,Postgraduate,Partner,65104,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,46,1,3,1,1053
8690,Graduate,Partner,86111,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,60,0,2,0,1385
2937,Postgraduate,Alone,68352,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,48,1,2,1,871
9701,Graduate,Partner,41883,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,34,1,3,1,312
9949,Graduate,Partner,59809,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,46,2,4,1,877
10837,Graduate,Partner,23957,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,47,1,3,1,68
3120,Graduate,Partner,38547,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,41,1,3,1,22
5885,Undergrade,Partner,35688,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,49,3,5,1,211
4050,Postgraduate,Partner,49605,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,56,0,2,0,127
3830,Postgraduate,Partner,59354,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,69,2,4,1,459
7987,Graduate,Partner,65747,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,53,1,3,1,460
7798,Undergrade,Partner,46344,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,50,1,3,1,429
92,Graduate,Alone,34176,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,34,1,2,1,89
7055,Postgraduate,Partner,61010,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,70,1,3,1,1021
10240,Graduate,Partner,69372,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,73,0,2,0,1381
3025,Graduate,Alone,49967,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,64,1,2,1,306
9283,Graduate,Alone,60199,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,44,3,4,1,18
9970,Graduate,Partner,55375,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,45,1,3,1,162
2730,Graduate,Alone,80317,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,67,0,1,0,1231
2795,Postgraduate,Alone,30523,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,64,3,4,1,13
9260,Postgraduate,Partner,70356,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,77,0,2,0,1706
8182,Graduate,Partner,23228,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,38,1,3,1,121
10095,Postgraduate,Alone,74165,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,47,0,1,0,1293
8475,Postgraduate,Partner,157243,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,49,1,3,1,1608
4370,Graduate,Partner,43482,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,56,3,5,1,88
10573,Graduate,Alone,62551,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,69,0,1,0,421
3712,Graduate,Alone,52332,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,63,0,1,0,259
6637,Graduate,Alone,66951,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,34,0,1,0,1117
3152,Graduate,Partner,26091,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,65,2,4,1,89
5610,Graduate,Partner,33456,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,57,2,4,1,36
6460,Graduate,Partner,28718,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,40,1,3,1,57
1349,Graduate,Partner,50447,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,52,2,4,1,148
1880,Postgraduate,Partner,53537,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,63,2,4,1,93
641,Graduate,Alone,52074,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,55,1,2,1,119
8717,Postgraduate,Partner,80427,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,47,1,3,1,1835
10314,Postgraduate,Partner,83837,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,74,0,2,0,1318
10854,Postgraduate,Partner,38853,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,52,2,4,1,45
10492,Graduate,Partner,38285,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,63,3,5,1,10
6935,Undergrade,Partner,78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,71,0,2,0,978
7698,Postgraduate,Partner,51650,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,46,1,3,1,191
3559,Undergrade,Partner,16248,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,34,1,3,1,57
10562,Postgraduate,Partner,66835,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,76,0,2,0,1033
10796,Postgraduate,Partner,30477,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,38,1,3,1,66
2563,Undergrade,Partner,28249,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,61,0,2,0,43
3518,Graduate,Partner,25271,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,39,1,3,1,50
5823,Postgraduate,Alone,32303,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,52,1,2,1,39
3934,Graduate,Partner,61286,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,56,1,3,1,608
6982,Graduate,Partner,74068,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,46,0,2,0,1581
6431,Postgraduate,Partner,45759,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,58,2,4,1,68
9733,Undergrade,Partner,24882,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,44,1,3,1,80
5602,Postgraduate,Partner,66973,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,33,0,2,0,1282
1324,Graduate,Partner,38872,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,34,1,3,1,91
326,Graduate,Partner,51148,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,49,2,4,1,315
7224,Graduate,Partner,31353,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,45,2,4,1,31
6999,Postgraduate,Partner,69661,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,42,0,2,0,834
9938,Graduate,Partner,80067,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,68,0,2,0,1600
6422,Graduate,Partner,86718,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,68,0,2,0,1270
3182,Postgraduate,Alone,46854,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,49,2,3,1,263
7300,Graduate,Alone,69142,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,70,1,2,1,535
10424,Graduate,Alone,75922,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,54,0,1,0,1295
8727,Graduate,Alone,63693,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,44,1,2,1,1150
2798,Postgraduate,Partner,102160,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,45,0,2,0,1240
1030,Postgraduate,Alone,40637,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,57,2,3,1,38
624,Postgraduate,Alone,18890,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,38,0,1,0,35
5176,Graduate,Partner,29604,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,34,1,3,1,53
5552,Postgraduate,Alone,48721,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,59,2,3,1,293
868,Graduate,Partner,44794,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,56,1,3,1,65
380,Graduate,Alone,64497,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,68,1,2,1,1804
2677,Graduate,Partner,46097,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,66,1,3,1,241
6521,Graduate,Partner,77972,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,68,0,2,0,1101
6927,Postgraduate,Partner,44377,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,54,2,4,1,264
